Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$0.73,$0.76,$0.73,$0.74,"$152,444,222","$4,899,164,732"
"Mar 07, 2022",$0.75,$0.77,$0.72,$0.73,"$214,364,989","$4,854,374,506"
"Mar 06, 2022",$0.77,$0.78,$0.75,$0.75,"$173,058,832","$4,948,424,162"
"Mar 05, 2022",$0.76,$0.78,$0.75,$0.77,"$177,046,735","$5,123,158,429"
"Mar 04, 2022",$0.80,$0.81,$0.75,$0.76,"$280,784,209","$5,033,692,478"
"Mar 03, 2022",$0.82,$0.85,$0.79,$0.80,"$414,025,663","$5,281,355,453"
"Mar 02, 2022",$0.86,$0.86,$0.81,$0.82,"$333,382,423","$5,431,608,053"
"Mar 01, 2022",$0.87,$0.89,$0.84,$0.86,"$372,474,801","$5,666,762,251"
"Feb 28, 2022",$0.80,$0.87,$0.79,$0.87,"$276,161,913","$5,741,267,227"
"Feb 27, 2022",$0.86,$0.86,$0.79,$0.80,"$235,640,543","$5,276,163,280"
"Feb 26, 2022",$0.83,$0.88,$0.82,$0.86,"$231,979,403","$5,685,699,013"
"Feb 25, 2022",$0.78,$0.84,$0.77,$0.83,"$241,005,972","$5,490,496,802"
"Feb 24, 2022",$0.79,$0.79,$0.69,$0.78,"$424,874,908","$5,141,150,395"
"Feb 23, 2022",$0.81,$0.85,$0.78,$0.79,"$233,082,064","$5,209,508,453"
"Feb 22, 2022",$0.78,$0.82,$0.76,$0.81,"$245,845,039","$5,367,913,781"
"Feb 21, 2022",$0.85,$0.88,$0.78,$0.79,"$256,859,953","$5,195,175,338"
"Feb 20, 2022",$0.90,$0.90,$0.83,$0.85,"$155,813,072","$5,600,979,456"
"Feb 19, 2022",$0.90,$0.92,$0.87,$0.90,"$132,969,149","$5,954,363,551"
"Feb 18, 2022",$0.90,$0.93,$0.88,$0.90,"$170,019,551","$5,932,398,994"
"Feb 17, 2022",$0.98,$0.99,$0.89,$0.90,"$240,735,642","$5,933,863,184"
"Feb 16, 2022",$0.97,$1.01,$0.96,$0.98,"$299,273,104","$6,482,903,322"
"Feb 15, 2022",$0.90,$0.97,$0.90,$0.97,"$193,474,566","$6,418,784,938"
