Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$131.23,$135.55,$129.47,$132.30,"$130,248,433","$2,860,108,030"
"Mar 07, 2022",$132.74,$137.72,$126.78,$131.23,"$146,266,406","$2,836,449,016"
"Mar 06, 2022",$137.74,$138.65,$132.44,$132.73,"$109,134,842","$2,868,109,861"
"Mar 05, 2022",$132.86,$139.37,$129.31,$137.73,"$139,768,613","$2,975,517,642"
"Mar 04, 2022",$146.65,$146.74,$130.91,$132.72,"$219,433,589","$2,866,793,772"
"Mar 03, 2022",$152.56,$154.39,$144.42,$146.64,"$171,026,249","$3,166,746,411"
"Mar 02, 2022",$152.15,$158.58,$148.87,$152.58,"$252,309,008","$3,293,870,389"
"Mar 01, 2022",$150.37,$158.85,$149.06,$152.15,"$301,304,734","$3,283,821,181"
"Feb 28, 2022",$136.06,$152.04,$133.41,$150.36,"$268,479,412","$3,244,512,475"
"Feb 27, 2022",$142.36,$144.64,$135.07,$136.06,"$193,746,737","$2,935,227,063"
"Feb 26, 2022",$148.62,$151.75,$141.00,$142.37,"$191,196,934","$3,070,752,024"
"Feb 25, 2022",$134.78,$150.15,$132.97,$148.60,"$236,738,307","$3,204,521,391"
"Feb 24, 2022",$146.88,$147.84,$121.98,$134.79,"$474,556,006","$2,905,900,401"
"Feb 23, 2022",$151.68,$160.11,$146.92,$146.92,"$175,324,480","$3,166,829,829"
"Feb 22, 2022",$146.30,$153.90,$146.04,$151.77,"$178,775,723","$3,270,595,716"
"Feb 21, 2022",$155.50,$169.27,$145.82,$146.32,"$249,701,263","$3,152,564,421"
"Feb 20, 2022",$162.45,$162.45,$152.98,$155.56,"$117,244,949","$3,350,943,809"
"Feb 19, 2022",$164.43,$167.53,$158.16,$162.47,"$118,242,276","$3,498,910,665"
"Feb 18, 2022",$170.37,$181.23,$163.70,$164.57,"$190,570,588","$3,543,357,523"
"Feb 17, 2022",$190.86,$194.73,$169.46,$170.25,"$220,171,632","$3,664,806,221"
"Feb 16, 2022",$194.31,$196.43,$184.04,$190.94,"$184,204,244","$4,109,358,106"
"Feb 15, 2022",$187.38,$199.40,$186.87,$194.29,"$214,051,070","$4,177,127,182"
"Feb 14, 2022",$190.70,$195.05,$183.40,$187.37,"$213,838,544","$3,885,091,847"
"Feb 13, 2022",$200.28,$206.00,$191.10,$191.10,"$250,617,550","$3,961,582,107"
"Feb 12, 2022",$194.66,$203.21,$183.30,$200.38,"$411,201,131","$4,153,026,880"
"Feb 11, 2022",$176.53,$210.14,$173.82,$194.67,"$552,121,052","$4,033,729,489"
"Feb 10, 2022",$178.03,$189.83,$174.10,$176.53,"$323,842,319","$3,657,051,313"
"Feb 09, 2022",$172.78,$180.83,$170.47,$178.00,"$104,123,722","$3,686,701,792"
"Feb 08, 2022",$176.16,$183.01,$166.58,$173.01,"$172,748,148","$3,582,506,695"
"Feb 07, 2022",$166.18,$183.03,$161.05,$176.06,"$187,590,802","$3,644,708,671"
"Feb 06, 2022",$160.61,$166.23,$158.04,$166.12,"$103,120,227","$3,438,197,392"
"Feb 05, 2022",$153.44,$165.16,$152.56,$160.52,"$128,065,993","$3,321,484,756"
"Feb 04, 2022",$139.86,$153.55,$138.62,$153.29,"$110,407,244","$3,171,187,572"
"Feb 03, 2022",$141.64,$142.87,$135.76,$139.90,"$93,438,219","$2,893,506,744"
"Feb 02, 2022",$150.72,$155.53,$140.55,$141.69,"$118,701,074","$2,930,012,663"
"Feb 01, 2022",$146.05,$155.88,$145.32,$150.71,"$112,023,483","$3,115,711,017"
"Jan 31, 2022",$141.19,$146.20,$134.76,$146.20,"$86,128,392","$3,021,772,985"
"Jan 30, 2022",$149.25,$151.64,$140.04,$141.15,"$86,962,512","$2,916,725,015"
"Jan 29, 2022",$143.94,$150.48,$143.31,$149.17,"$85,523,885","$3,081,866,909"
"Jan 28, 2022",$141.87,$146.21,$136.41,$143.94,"$95,689,968","$2,972,975,145"
"Jan 27, 2022",$140.21,$146.71,$133.34,$141.92,"$124,355,210","$2,930,671,539"
"Jan 26, 2022",$140.78,$157.84,$137.22,$140.24,"$189,675,541","$2,895,222,064"
"Jan 25, 2022",$131.20,$142.07,$128.73,$140.79,"$151,868,918","$2,906,049,333"
"Jan 24, 2022",$134.05,$134.14,$116.45,$131.21,"$178,748,387","$2,707,712,162"
"Jan 23, 2022",$125.28,$141.91,$124.66,$134.00,"$159,522,630","$2,710,923,093"
"Jan 22, 2022",$137.89,$142.16,$113.74,$125.13,"$232,458,860","$2,530,891,808"
"Jan 21, 2022",$166.38,$168.84,$136.13,$137.76,"$196,475,943","$2,785,770,935"
"Jan 20, 2022",$173.94,$185.19,$166.17,$166.25,"$75,119,032","$3,361,025,211"
"Jan 19, 2022",$179.21,$180.08,$169.48,$173.99,"$97,687,041","$3,516,657,455"
"Jan 18, 2022",$187.24,$190.85,$171.76,$179.21,"$148,806,974","$3,621,339,010"
"Jan 17, 2022",$195.40,$195.96,$183.00,$187.27,"$113,844,135","$3,783,366,301"
"Jan 16, 2022",$200.66,$200.89,$193.48,$195.38,"$96,641,437","$3,946,308,380"
"Jan 15, 2022",$199.56,$206.85,$197.63,$200.68,"$79,641,396","$4,052,405,228"
"Jan 14, 2022",$195.08,$201.40,$191.15,$199.53,"$116,227,429","$4,028,137,367"
"Jan 13, 2022",$214.75,$214.85,$194.86,$195.03,"$130,641,390","$3,903,354,020"
"Jan 12, 2022",$205.37,$219.34,$204.95,$214.92,"$140,839,248","$4,300,350,787"
"Jan 11, 2022",$191.19,$207.71,$188.97,$205.39,"$179,027,819","$4,108,689,046"
"Jan 10, 2022",$197.86,$200.09,$180.68,$191.17,"$121,552,199","$3,823,379,095"
"Jan 09, 2022",$190.80,$202.32,$188.90,$197.89,"$93,064,019","$3,956,853,942"
"Jan 08, 2022",$195.63,$200.95,$182.76,$190.86,"$113,991,416","$3,815,470,777"
"Jan 07, 2022",$212.57,$213.05,$193.10,$195.56,"$173,435,230","$3,908,499,883"
"Jan 06, 2022",$214.65,$215.33,$201.66,$212.60,"$176,987,272","$4,248,037,435"
"Jan 05, 2022",$236.21,$253.82,$201.17,$214.67,"$276,118,826","$4,288,314,672"
"Jan 04, 2022",$236.83,$242.64,$230.84,$236.25,"$123,495,054","$4,718,247,873"
"Jan 03, 2022",$239.79,$244.51,$233.99,$236.82,"$94,034,605","$4,728,658,226"
"Jan 02, 2022",$244.79,$245.13,$237.64,$239.77,"$83,454,086","$4,786,430,565"
"Jan 01, 2022",$238.68,$244.85,$236.38,$244.82,"$66,566,494","$4,885,964,307"
"Dec 31, 2021",$239.57,$248.06,$233.48,$238.63,"$78,346,026","$4,761,300,954"
"Dec 30, 2021",$238.37,$251.12,$233.46,$239.40,"$120,207,210","$4,775,588,578"
"Dec 29, 2021",$240.54,$246.09,$232.48,$237.90,"$128,125,561","$4,744,671,300"
"Dec 28, 2021",$266.31,$269.62,$237.21,$240.75,"$179,554,814","$4,800,270,325"
"Dec 27, 2021",$258.75,$283.86,$258.73,$266.23,"$201,655,925","$5,307,063,433"
"Dec 26, 2021",$255.53,$262.33,$243.48,$259.11,"$108,207,870","$5,164,002,671"
"Dec 25, 2021",$250.89,$260.60,$249.13,$255.62,"$76,100,889","$5,093,170,961"
"Dec 24, 2021",$261.27,$270.73,$247.51,$250.59,"$152,131,518","$4,991,790,700"
"Dec 23, 2021",$246.81,$268.93,$240.64,$260.89,"$198,718,350","$5,195,730,543"
"Dec 22, 2021",$240.12,$253.73,$237.73,$247.10,"$146,765,980","$4,919,973,047"
"Dec 21, 2021",$236.22,$248.40,$232.02,$240.31,"$134,896,862","$4,783,634,569"
"Dec 20, 2021",$246.39,$247.73,$225.43,$236.44,"$184,534,996","$4,705,459,615"
"Dec 19, 2021",$254.16,$259.22,$241.55,$246.77,"$147,288,918","$4,910,034,278"
"Dec 18, 2021",$255.40,$264.15,$245.57,$253.78,"$187,331,887","$5,048,258,772"
"Dec 17, 2021",$268.21,$278.85,$252.00,$255.31,"$329,097,599","$5,077,489,961"
"Dec 16, 2021",$296.08,$345.02,$265.72,$268.11,"$631,538,887","$5,331,017,158"
"Dec 15, 2021",$254.25,$298.40,$253.92,$295.94,"$348,870,733","$5,882,892,422"
"Dec 14, 2021",$234.38,$256.71,$229.38,$254.48,"$151,728,415","$5,057,700,975"
"Dec 13, 2021",$263.18,$264.00,$227.36,$234.25,"$173,104,412","$4,654,558,217"
"Dec 12, 2021",$256.17,$268.88,$249.74,$263.07,"$109,873,525","$5,225,923,786"
"Dec 11, 2021",$257.63,$262.78,$248.85,$255.98,"$134,954,669","$5,083,916,055"
"Dec 10, 2021",$266.48,$281.44,$256.32,$257.41,"$174,273,338","$5,111,116,776"
"Dec 09, 2021",$297.43,$313.23,$266.27,$266.73,"$254,862,453","$5,294,895,734"
"Dec 08, 2021",$286.51,$305.08,$272.06,$297.38,"$163,934,326","$5,901,879,996"
"Dec 07, 2021",$288.91,$313.57,$282.64,$286.69,"$195,601,226","$5,688,429,257"
"Dec 06, 2021",$288.27,$294.03,$261.86,$288.89,"$277,817,756","$5,730,619,631"
"Dec 05, 2021",$309.23,$330.17,$278.79,$288.30,"$261,774,679","$5,717,699,972"
"Dec 04, 2021",$346.22,$348.35,$225.61,$309.24,"$613,303,368","$6,131,487,580"
"Dec 03, 2021",$357.25,$357.84,$322.15,$345.17,"$354,858,403","$6,842,131,878"
"Dec 02, 2021",$407.88,$420.35,$352.48,$356.95,"$553,134,381","$7,074,159,857"
"Dec 01, 2021",$376.57,$427.43,$370.24,$406.41,"$434,581,911","$8,052,578,256"
"Nov 30, 2021",$396.37,$402.66,$376.23,$376.98,"$248,939,812","$7,467,674,793"
"Nov 29, 2021",$412.74,$416.33,$394.82,$396.33,"$231,515,669","$7,849,106,830"
"Nov 28, 2021",$431.28,$437.09,$390.55,$412.99,"$321,904,062","$8,177,169,515"
"Nov 27, 2021",$398.04,$442.33,$396.48,$431.18,"$323,288,534","$8,535,383,939"
"Nov 26, 2021",$439.15,$443.11,$389.86,$396.78,"$378,993,138","$7,852,663,296"
"Nov 25, 2021",$458.54,$467.14,$425.07,$450.33,"$673,813,782","$8,908,399,929"
"Nov 24, 2021",$469.47,$495.46,$441.77,$453.84,"$1,227,649,457","$8,975,917,158"
"Nov 23, 2021",$490.91,$542.58,$468.77,$468.77,"$1,269,067,808","$9,271,023,533"
"Nov 22, 2021",$427.93,$494.89,$413.28,$490.35,"$1,277,462,840","$9,695,719,703"
"Nov 21, 2021",$392.92,$444.42,$381.35,$427.11,"$913,161,284","$8,443,412,256"
"Nov 20, 2021",$347.72,$392.72,$333.43,$391.83,"$577,260,289","$7,744,168,393"
"Nov 19, 2021",$308.00,$369.89,$302.70,$347.24,"$442,210,872","$6,861,438,201"
"Nov 18, 2021",$309.77,$325.77,$293.63,$308.22,"$238,292,551","$6,088,950,301"
"Nov 17, 2021",$303.68,$310.74,$289.33,$310.43,"$142,732,455","$6,130,975,235"
"Nov 16, 2021",$315.26,$318.46,$286.53,$303.87,"$218,649,103","$5,999,947,805"
"Nov 15, 2021",$320.01,$325.72,$312.20,$314.35,"$111,996,190","$6,205,533,377"
"Nov 14, 2021",$322.35,$325.26,$312.11,$319.89,"$87,452,466","$6,313,354,956"
"Nov 13, 2021",$325.91,$330.39,$319.05,$322.30,"$109,139,530","$6,359,403,699"
"Nov 12, 2021",$317.62,$325.73,$304.50,$325.02,"$131,437,483","$6,411,362,812"
"Nov 11, 2021",$313.05,$334.21,$303.72,$318.60,"$164,725,547","$6,283,244,410"
"Nov 10, 2021",$316.92,$338.22,$292.74,$313.18,"$293,809,853","$6,174,960,288"
"Nov 09, 2021",$309.30,$322.56,$308.82,$317.07,"$124,196,977","$6,250,088,274"
"Nov 08, 2021",$316.24,$316.24,$307.98,$309.54,"$129,173,666","$6,100,230,439"
"Nov 07, 2021",$317.42,$328.95,$314.17,$315.82,"$133,343,749","$6,222,421,778"
"Nov 06, 2021",$315.95,$319.72,$303.63,$316.72,"$113,989,383","$6,238,697,993"
"Nov 05, 2021",$318.83,$329.10,$305.11,$316.17,"$201,108,136","$6,226,396,272"
"Nov 04, 2021",$307.51,$323.94,$298.43,$318.08,"$350,245,226","$6,262,456,167"
"Nov 03, 2021",$272.24,$307.82,$269.63,$307.70,"$269,484,958","$6,056,634,078"
"Nov 02, 2021",$269.33,$276.99,$267.81,$272.52,"$90,680,888","$5,362,810,576"
"Nov 01, 2021",$270.86,$278.02,$259.51,$269.59,"$126,006,581","$5,303,913,062"
"Oct 31, 2021",$259.97,$275.26,$252.48,$270.94,"$105,013,996","$5,329,252,388"
"Oct 30, 2021",$269.01,$269.80,$257.26,$259.62,"$75,082,777","$5,105,190,228"
"Oct 29, 2021",$257.12,$274.10,$255.05,$268.96,"$107,637,540","$5,287,747,453"
"Oct 28, 2021",$245.51,$267.47,$244.35,$257.09,"$135,236,640","$5,053,026,560"
"Oct 27, 2021",$272.92,$277.47,$228.51,$245.39,"$209,627,154","$4,821,956,335"
"Oct 26, 2021",$294.62,$295.56,$269.14,$273.01,"$143,090,817","$5,363,324,602"
"Oct 25, 2021",$283.61,$297.91,$282.52,$294.62,"$135,421,296","$5,786,457,088"
"Oct 24, 2021",$271.40,$294.48,$270.11,$283.79,"$193,175,119","$5,572,429,537"
"Oct 23, 2021",$274.58,$279.77,$266.53,$271.39,"$99,236,294","$5,327,557,974"
"Oct 22, 2021",$249.25,$277.92,$248.91,$274.46,"$267,294,710","$5,386,647,006"
"Oct 21, 2021",$240.17,$260.55,$238.91,$248.53,"$183,654,607","$4,876,553,922"
"Oct 20, 2021",$229.81,$244.85,$227.66,$239.94,"$111,130,613","$4,706,894,595"
"Oct 19, 2021",$230.29,$232.69,$225.37,$229.83,"$88,826,595","$4,507,384,924"
"Oct 18, 2021",$235.77,$238.61,$227.76,$230.20,"$79,534,291","$4,513,606,254"
"Oct 17, 2021",$241.02,$242.95,$226.03,$235.86,"$76,165,491","$4,623,449,059"
"Oct 16, 2021",$236.82,$249.74,$236.48,$240.96,"$92,478,026","$4,722,218,057"
"Oct 15, 2021",$242.27,$244.00,$234.55,$236.48,"$106,002,902","$4,633,271,300"
"Oct 14, 2021",$241.98,$250.30,$239.28,$241.56,"$81,038,418","$4,731,576,720"
"Oct 13, 2021",$236.17,$250.05,$233.26,$241.92,"$137,966,206","$4,737,557,677"
"Oct 12, 2021",$248.62,$248.62,$220.58,$236.22,"$162,260,641","$4,624,885,425"
"Oct 11, 2021",$240.27,$251.86,$236.25,$249.19,"$149,366,249","$4,877,490,829"
"Oct 10, 2021",$259.01,$259.01,$237.76,$240.62,"$112,920,474","$4,708,653,797"
"Oct 09, 2021",$257.63,$268.50,$255.08,$258.71,"$99,247,831","$5,061,454,075"
"Oct 08, 2021",$243.26,$276.19,$242.90,$257.67,"$344,068,444","$5,039,875,299"
"Oct 07, 2021",$230.52,$244.21,$225.22,$242.94,"$150,007,848","$4,750,667,112"
"Oct 06, 2021",$244.63,$246.71,$222.53,$230.84,"$181,438,719","$4,512,821,537"
