Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$1.32,$1.38,$1.31,$1.32,"$1,218,616,250","$3,369,544,733"
"Mar 07, 2022",$1.41,$1.46,$1.30,$1.32,"$1,963,875,218","$3,361,806,769"
"Mar 06, 2022",$1.69,$1.71,$1.40,$1.41,"$2,012,824,348","$3,587,646,409"
"Mar 05, 2022",$1.66,$1.70,$1.62,$1.69,"$848,216,047","$4,303,165,482"
"Mar 04, 2022",$1.87,$1.88,$1.65,$1.66,"$1,311,869,542","$4,230,484,786"
"Mar 03, 2022",$2.01,$2.01,$1.82,$1.87,"$1,562,746,253","$4,762,348,035"
"Mar 02, 2022",$1.83,$2.07,$1.78,$2.01,"$2,016,598,427","$5,107,147,542"
"Mar 01, 2022",$1.78,$1.94,$1.78,$1.83,"$1,482,103,439","$4,657,106,074"
"Feb 28, 2022",$1.59,$1.79,$1.55,$1.78,"$1,171,018,275","$4,532,974,566"
"Feb 27, 2022",$1.77,$1.79,$1.58,$1.59,"$1,210,663,531","$4,040,256,165"
"Feb 26, 2022",$1.72,$1.82,$1.67,$1.77,"$1,045,716,151","$4,506,296,704"
"Feb 25, 2022",$1.49,$1.72,$1.47,$1.72,"$1,303,890,259","$4,379,926,336"
"Feb 24, 2022",$1.58,$1.58,$1.31,$1.49,"$1,799,847,846","$3,789,040,737"
"Feb 23, 2022",$1.61,$1.72,$1.58,$1.58,"$857,207,258","$4,028,291,183"
"Feb 22, 2022",$1.54,$1.61,$1.49,$1.61,"$936,818,213","$4,092,809,249"
"Feb 21, 2022",$1.73,$1.81,$1.54,$1.54,"$1,018,263,085","$3,922,928,126"
"Feb 20, 2022",$1.88,$1.88,$1.69,$1.73,"$701,777,691","$4,401,781,990"
"Feb 19, 2022",$1.87,$1.91,$1.82,$1.88,"$337,348,806","$4,776,008,390"
"Feb 18, 2022",$1.90,$1.97,$1.85,$1.87,"$562,000,106","$4,751,312,262"
"Feb 17, 2022",$2.07,$2.14,$1.89,$1.89,"$818,157,046","$4,818,411,719"
"Feb 16, 2022",$2.09,$2.11,$2.01,$2.07,"$630,611,046","$5,267,913,340"
"Feb 15, 2022",$1.93,$2.09,$1.92,$2.09,"$777,987,560","$5,316,167,644"
"Feb 14, 2022",$1.90,$1.96,$1.82,$1.93,"$725,989,092","$4,911,377,590"
"Feb 13, 2022",$1.95,$1.99,$1.89,$1.90,"$464,383,968","$4,835,417,100"
"Feb 12, 2022",$1.94,$1.99,$1.89,$1.95,"$685,222,889","$4,961,215,259"
"Feb 11, 2022",$2.11,$2.17,$1.92,$1.94,"$808,095,183","$4,939,783,741"
"Feb 10, 2022",$2.25,$2.26,$2.10,$2.11,"$990,974,774","$5,372,161,782"
"Feb 09, 2022",$2.21,$2.28,$2.14,$2.25,"$640,104,102","$5,730,031,112"
"Feb 08, 2022",$2.32,$2.39,$2.16,$2.21,"$941,122,976","$5,625,062,811"
"Feb 07, 2022",$2.16,$2.37,$2.12,$2.32,"$1,280,000,162","$5,905,387,639"
"Feb 06, 2022",$2.09,$2.16,$2.07,$2.16,"$582,602,126","$5,499,718,795"
"Feb 05, 2022",$2.12,$2.20,$2.08,$2.09,"$784,129,564","$5,324,739,346"
"Feb 04, 2022",$1.95,$2.12,$1.93,$2.12,"$896,188,985","$5,401,118,188"
"Feb 03, 2022",$1.92,$1.96,$1.88,$1.95,"$655,353,811","$4,974,361,092"
"Feb 02, 2022",$2.07,$2.11,$1.92,$1.92,"$714,691,267","$4,894,083,236"
"Feb 01, 2022",$2.05,$2.15,$2.03,$2.07,"$850,221,099","$5,272,252,203"
"Jan 31, 2022",$2.03,$2.09,$1.92,$2.05,"$912,326,988","$5,211,258,785"
"Jan 30, 2022",$2.10,$2.16,$2.01,$2.03,"$623,138,951","$5,168,719,656"
"Jan 29, 2022",$2.13,$2.19,$2.08,$2.10,"$772,002,807","$5,333,650,576"
"Jan 28, 2022",$2.08,$2.16,$2.00,$2.13,"$1,076,948,630","$5,413,902,325"
