Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$0.21,$0.21,$0.20,$0.20,"$68,045,226","$4,009,689,569"
"Mar 07, 2022",$0.20,$0.21,$0.20,$0.21,"$75,397,491","$4,045,995,249"
"Mar 06, 2022",$0.21,$0.21,$0.20,$0.20,"$41,817,330","$3,967,108,155"
"Mar 05, 2022",$0.21,$0.21,$0.20,$0.21,"$41,330,060","$4,121,323,901"
"Mar 04, 2022",$0.22,$0.22,$0.20,$0.21,"$72,282,108","$4,021,437,080"
"Mar 03, 2022",$0.22,$0.23,$0.22,$0.22,"$78,897,123","$4,329,643,477"
"Mar 02, 2022",$0.23,$0.23,$0.22,$0.22,"$93,172,800","$4,367,074,001"
"Mar 01, 2022",$0.23,$0.23,$0.22,$0.23,"$124,459,146","$4,439,097,791"
"Feb 28, 2022",$0.21,$0.23,$0.21,$0.23,"$96,019,863","$4,501,172,864"
"Feb 27, 2022",$0.22,$0.23,$0.21,$0.21,"$78,651,340","$4,110,035,393"
"Feb 26, 2022",$0.22,$0.23,$0.22,$0.22,"$67,431,236","$4,372,124,464"
"Feb 25, 2022",$0.22,$0.23,$0.21,$0.22,"$119,616,826","$4,394,592,758"
"Feb 24, 2022",$0.22,$0.22,$0.19,$0.22,"$200,781,284","$4,227,114,972"
"Feb 23, 2022",$0.23,$0.24,$0.22,$0.22,"$165,367,274","$4,283,557,009"
"Feb 22, 2022",$0.20,$0.24,$0.20,$0.23,"$270,843,375","$4,249,038,857"
"Feb 21, 2022",$0.22,$0.22,$0.20,$0.20,"$110,430,286","$3,631,269,058"
"Feb 20, 2022",$0.23,$0.24,$0.21,$0.22,"$85,519,529","$3,903,097,318"
"Feb 19, 2022",$0.23,$0.23,$0.22,$0.23,"$55,152,304","$4,207,045,070"
"Feb 18, 2022",$0.23,$0.24,$0.23,$0.23,"$82,506,957","$4,154,582,477"
"Feb 17, 2022",$0.26,$0.26,$0.23,$0.23,"$119,656,495","$4,243,323,147"
"Feb 16, 2022",$0.26,$0.27,$0.25,$0.26,"$114,603,631","$4,735,829,250"
"Feb 15, 2022",$0.24,$0.26,$0.24,$0.26,"$192,261,764","$4,686,915,325"
"Feb 14, 2022",$0.23,$0.24,$0.22,$0.24,"$101,336,079","$4,377,164,663"
"Feb 13, 2022",$0.23,$0.23,$0.22,$0.23,"$57,259,903","$4,116,759,110"
"Feb 12, 2022",$0.23,$0.24,$0.23,$0.23,"$77,301,857","$4,182,688,102"
"Feb 11, 2022",$0.25,$0.25,$0.23,$0.23,"$92,052,658","$4,225,611,384"
"Feb 10, 2022",$0.26,$0.26,$0.24,$0.25,"$105,299,945","$4,468,848,763"
"Feb 09, 2022",$0.25,$0.26,$0.25,$0.26,"$68,186,790","$4,647,871,874"
"Feb 08, 2022",$0.26,$0.26,$0.24,$0.25,"$114,383,588","$4,596,252,220"
"Feb 07, 2022",$0.26,$0.27,$0.25,$0.26,"$107,669,774","$4,737,742,277"
"Feb 06, 2022",$0.26,$0.26,$0.25,$0.26,"$61,045,797","$4,668,625,009"
