Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$21.20,$22.29,$20.61,$21.20,"$33,772,141","$2,395,076,157"
"Mar 07, 2022",$20.87,$22.01,$20.07,$21.20,"$42,605,543","$2,393,970,080"
"Mar 06, 2022",$22.08,$22.15,$20.87,$20.87,"$18,761,090","$2,354,927,669"
"Mar 05, 2022",$21.37,$22.33,$20.82,$22.08,"$22,812,503","$2,490,132,614"
"Mar 04, 2022",$23.00,$23.03,$21.11,$21.37,"$37,017,860","$2,408,362,206"
"Mar 03, 2022",$24.01,$25.07,$22.44,$22.97,"$45,044,305","$2,587,047,661"
"Mar 02, 2022",$24.89,$24.94,$23.42,$24.01,"$41,567,118","$2,702,769,286"
"Mar 01, 2022",$25.73,$26.05,$24.33,$24.90,"$45,782,015","$2,799,780,354"
"Feb 28, 2022",$22.91,$25.79,$22.38,$25.73,"$39,349,174","$2,891,161,057"
"Feb 27, 2022",$24.85,$24.98,$22.59,$22.91,"$30,935,977","$2,573,190,750"
"Feb 26, 2022",$23.99,$25.59,$23.74,$24.85,"$33,890,152","$2,788,263,149"
"Feb 25, 2022",$22.55,$24.19,$22.03,$23.99,"$42,533,506","$2,690,841,973"
"Feb 24, 2022",$21.89,$22.92,$19.59,$22.54,"$69,843,237","$2,526,320,967"
"Feb 23, 2022",$23.21,$24.14,$21.90,$21.90,"$28,601,033","$2,453,346,025"
"Feb 22, 2022",$21.42,$23.31,$21.05,$23.20,"$36,794,938","$2,592,581,780"
"Feb 21, 2022",$23.05,$24.25,$21.31,$21.43,"$33,758,788","$2,392,361,207"
"Feb 20, 2022",$24.09,$24.10,$22.39,$23.05,"$33,270,273","$2,561,865,369"
"Feb 19, 2022",$25.15,$25.62,$23.89,$24.09,"$29,560,183","$2,675,326,182"
"Feb 18, 2022",$24.83,$26.61,$24.63,$25.14,"$52,201,500","$2,789,912,274"
"Feb 17, 2022",$28.27,$28.31,$24.59,$24.81,"$54,711,257","$2,750,630,065"
"Feb 16, 2022",$27.51,$28.27,$26.10,$28.27,"$31,280,806","$3,132,264,355"
"Feb 15, 2022",$25.89,$27.84,$25.85,$27.51,"$38,446,581","$3,045,567,944"
"Feb 14, 2022",$25.27,$26.99,$24.24,$25.89,"$55,299,202","$2,865,264,010"
"Feb 13, 2022",$27.55,$27.82,$25.19,$25.30,"$29,734,077","$2,797,091,886"
"Feb 12, 2022",$27.27,$28.35,$26.39,$27.55,"$21,911,076","$3,044,205,825"
"Feb 11, 2022",$28.95,$30.26,$26.90,$27.27,"$34,165,152","$3,010,561,470"
"Feb 10, 2022",$30.35,$30.67,$28.67,$28.94,"$33,071,640","$3,193,610,792"
"Feb 09, 2022",$29.00,$31.43,$28.46,$30.35,"$25,477,905","$3,346,598,375"
"Feb 08, 2022",$30.00,$31.06,$27.84,$29.03,"$26,998,544","$3,198,772,992"
"Feb 07, 2022",$30.28,$31.94,$29.60,$30.00,"$31,695,939","$3,304,284,895"
"Feb 06, 2022",$30.14,$30.47,$28.81,$30.27,"$23,059,398","$3,333,059,802"
"Feb 05, 2022",$27.26,$31.77,$27.18,$30.11,"$50,083,583","$3,312,771,783"
"Feb 04, 2022",$25.93,$27.27,$25.52,$27.25,"$18,956,269","$2,996,731,099"
"Feb 03, 2022",$25.18,$26.29,$24.53,$25.96,"$21,689,408","$2,848,482,012"
"Feb 02, 2022",$27.32,$27.70,$25.12,$25.20,"$21,330,836","$2,763,294,374"
