Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$16.46,$17.11,$16.36,$16.86,"$138,541,990","$3,517,500,428"
"Mar 07, 2022",$16.65,$17.30,$15.91,$16.46,"$243,504,396","$3,434,300,345"
"Mar 06, 2022",$17.68,$17.76,$16.65,$16.65,"$162,926,340","$3,471,398,955"
"Mar 05, 2022",$17.58,$17.89,$16.90,$17.67,"$174,079,289","$3,684,796,188"
"Mar 04, 2022",$19.90,$19.96,$17.37,$17.57,"$261,734,838","$3,663,456,603"
"Mar 03, 2022",$19.31,$20.63,$18.94,$19.88,"$365,885,707","$4,144,634,397"
"Mar 02, 2022",$19.35,$19.82,$18.88,$19.31,"$233,065,124","$4,025,477,571"
"Mar 01, 2022",$20.14,$20.41,$19.10,$19.34,"$284,568,396","$4,016,892,249"
"Feb 28, 2022",$17.22,$20.16,$16.95,$20.14,"$273,920,680","$4,181,804,451"
"Feb 27, 2022",$17.71,$18.77,$16.89,$17.22,"$223,747,891","$3,573,743,457"
"Feb 26, 2022",$17.68,$18.20,$17.44,$17.72,"$151,921,659","$3,676,278,644"
"Feb 25, 2022",$16.61,$17.95,$16.37,$17.68,"$228,229,098","$3,668,838,429"
"Feb 24, 2022",$17.34,$17.45,$14.76,$16.60,"$461,836,937","$3,444,109,761"
"Feb 23, 2022",$17.93,$18.53,$17.18,$17.37,"$223,543,268","$3,601,374,347"
"Feb 22, 2022",$17.76,$18.16,$16.95,$17.93,"$266,587,096","$3,712,961,529"
"Feb 21, 2022",$18.70,$19.44,$17.72,$17.76,"$297,190,323","$3,677,688,281"
"Feb 20, 2022",$20.01,$20.03,$18.35,$18.71,"$215,166,236","$3,870,509,612"
"Feb 19, 2022",$19.65,$20.43,$19.24,$20.01,"$176,579,136","$4,139,185,043"
"Feb 18, 2022",$19.82,$20.37,$19.24,$19.66,"$210,978,490","$4,067,708,975"
"Feb 17, 2022",$22.02,$22.34,$19.66,$19.80,"$288,925,284","$4,094,614,554"
"Feb 16, 2022",$21.75,$22.47,$20.77,$22.05,"$273,978,923","$4,559,735,293"
"Feb 15, 2022",$20.78,$21.84,$20.59,$21.75,"$214,131,289","$4,494,365,469"
"Feb 14, 2022",$19.83,$21.19,$19.22,$20.79,"$264,972,503","$4,296,213,958"
"Feb 13, 2022",$20.03,$20.75,$19.54,$19.86,"$155,327,646","$4,101,864,387"
"Feb 12, 2022",$19.78,$20.55,$19.19,$20.04,"$229,621,533","$4,138,900,539"
"Feb 11, 2022",$21.60,$22.07,$19.45,$19.78,"$283,961,181","$4,086,581,455"
"Feb 10, 2022",$23.05,$23.21,$21.53,$21.60,"$319,946,161","$4,406,417,689"
"Feb 09, 2022",$23.04,$23.39,$22.48,$23.04,"$190,927,716","$4,615,812,492"
"Feb 08, 2022",$24.00,$24.62,$22.31,$23.06,"$299,673,819","$4,619,436,244"
"Feb 07, 2022",$23.37,$24.27,$22.83,$23.98,"$299,279,831","$4,802,851,485"
"Feb 06, 2022",$22.33,$24.12,$22.28,$23.38,"$282,839,837","$4,680,527,998"
"Feb 05, 2022",$22.27,$23.05,$21.95,$22.33,"$219,856,642","$4,471,022,135"
"Feb 04, 2022",$20.71,$22.30,$20.55,$22.27,"$273,704,899","$4,459,195,107"
"Feb 03, 2022",$21.58,$22.01,$20.11,$20.72,"$269,079,378","$4,148,316,122"
"Feb 02, 2022",$20.16,$22.29,$19.97,$21.59,"$399,081,670","$4,321,132,497"
"Feb 01, 2022",$19.84,$20.51,$19.72,$20.15,"$176,954,074","$4,012,522,620"
"Jan 31, 2022",$19.28,$20.02,$18.63,$19.84,"$199,776,194","$3,951,082,393"
"Jan 30, 2022",$20.16,$20.46,$18.96,$19.28,"$257,299,232","$3,837,190,670"
"Jan 29, 2022",$20.34,$21.28,$20.05,$20.16,"$226,647,301","$4,011,599,210"
"Jan 28, 2022",$19.57,$20.37,$18.97,$20.34,"$218,729,870","$4,047,336,633"
