Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$1.11,$1.12,$1.10,$1.11,"$66,677,274","$2,940,006,649"
"Mar 07, 2022",$1.14,$1.14,$1.10,$1.11,"$65,753,904","$2,923,019,332"
"Mar 06, 2022",$1.15,$1.16,$1.13,$1.14,"$48,817,887","$2,995,613,842"
"Mar 05, 2022",$1.14,$1.15,$1.13,$1.15,"$45,901,533","$3,040,769,893"
"Mar 04, 2022",$1.17,$1.17,$1.13,$1.13,"$60,376,582","$2,991,798,858"
"Mar 03, 2022",$1.19,$1.20,$1.16,$1.17,"$60,595,121","$3,093,646,519"
"Mar 02, 2022",$1.22,$1.22,$1.18,$1.19,"$77,264,219","$3,142,774,691"
"Mar 01, 2022",$1.23,$1.25,$1.21,$1.22,"$91,874,650","$3,228,127,733"
"Feb 28, 2022",$1.17,$1.24,$1.16,$1.23,"$96,158,250","$3,249,965,929"
"Feb 27, 2022",$1.21,$1.23,$1.16,$1.17,"$58,101,941","$3,088,668,713"
"Feb 26, 2022",$1.22,$1.24,$1.21,$1.21,"$51,553,837","$3,196,648,345"
"Feb 25, 2022",$1.21,$1.23,$1.19,$1.22,"$73,775,127","$3,218,627,521"
"Feb 24, 2022",$1.22,$1.23,$1.13,$1.21,"$159,834,572","$3,186,590,122"
"Feb 23, 2022",$1.25,$1.29,$1.22,$1.22,"$94,412,057","$3,217,418,091"
"Feb 22, 2022",$1.18,$1.25,$1.18,$1.25,"$89,452,473","$3,288,210,343"
"Feb 21, 2022",$1.25,$1.29,$1.18,$1.18,"$91,846,488","$3,118,198,908"
"Feb 20, 2022",$1.28,$1.29,$1.24,$1.25,"$85,859,567","$3,288,385,717"
"Feb 19, 2022",$1.26,$1.31,$1.25,$1.28,"$85,260,938","$3,363,396,990"
"Feb 18, 2022",$1.22,$1.30,$1.22,$1.26,"$89,870,154","$3,312,359,598"
"Feb 17, 2022",$1.28,$1.30,$1.21,$1.22,"$72,840,343","$3,218,557,009"
"Feb 16, 2022",$1.29,$1.36,$1.25,$1.28,"$134,307,516","$3,376,440,596"
"Feb 15, 2022",$1.23,$1.31,$1.23,$1.29,"$102,832,952","$3,395,700,081"
"Feb 14, 2022",$1.19,$1.23,$1.17,$1.23,"$71,750,357","$3,249,828,515"
"Feb 13, 2022",$1.19,$1.24,$1.18,$1.19,"$52,531,259","$3,121,857,461"
"Feb 12, 2022",$1.16,$1.20,$1.15,$1.19,"$54,714,170","$3,119,631,852"
"Feb 11, 2022",$1.17,$1.24,$1.15,$1.16,"$66,462,657","$3,061,661,976"
"Feb 10, 2022",$1.23,$1.24,$1.17,$1.17,"$66,295,878","$3,088,427,054"
"Feb 09, 2022",$1.20,$1.25,$1.17,$1.23,"$50,953,193","$3,245,973,181"
"Feb 08, 2022",$1.26,$1.28,$1.17,$1.20,"$70,922,007","$3,166,657,548"
"Feb 07, 2022",$1.18,$1.26,$1.16,$1.26,"$55,369,565","$3,301,774,101"
"Feb 06, 2022",$1.17,$1.18,$1.15,$1.18,"$30,321,527","$3,098,371,175"
"Feb 05, 2022",$1.19,$1.21,$1.16,$1.17,"$37,958,855","$3,079,485,150"
"Feb 04, 2022",$1.12,$1.19,$1.12,$1.19,"$49,136,524","$3,133,632,804"
"Feb 03, 2022",$1.15,$1.15,$1.10,$1.12,"$43,770,210","$2,943,234,850"
