Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$0.70,$0.72,$0.69,$0.70,"$23,356,531","$1,956,784,634"
"Mar 07, 2022",$0.69,$0.73,$0.68,$0.70,"$31,766,428","$1,936,359,690"
"Mar 06, 2022",$0.74,$0.75,$0.69,$0.69,"$24,824,342","$1,927,565,180"
"Mar 05, 2022",$0.71,$0.74,$0.70,$0.74,"$23,261,595","$2,046,314,522"
"Mar 04, 2022",$0.76,$0.76,$0.71,$0.71,"$30,786,539","$1,973,060,810"
"Mar 03, 2022",$0.79,$0.80,$0.75,$0.76,"$30,331,630","$2,110,064,022"
"Mar 02, 2022",$0.80,$0.81,$0.77,$0.79,"$38,124,242","$2,191,169,739"
"Mar 01, 2022",$0.80,$0.81,$0.78,$0.80,"$54,231,443","$2,219,563,438"
"Feb 28, 2022",$0.71,$0.80,$0.71,$0.80,"$48,642,840","$2,211,605,583"
"Feb 27, 2022",$0.74,$0.75,$0.70,$0.71,"$51,671,686","$1,978,970,653"
"Feb 26, 2022",$0.74,$0.76,$0.74,$0.74,"$29,986,750","$2,069,429,247"
"Feb 25, 2022",$0.69,$0.74,$0.69,$0.74,"$45,670,072","$2,050,205,172"
"Feb 24, 2022",$0.71,$0.72,$0.62,$0.69,"$81,965,538","$1,929,755,794"
"Feb 23, 2022",$0.75,$0.78,$0.71,$0.72,"$33,502,685","$1,987,587,978"
"Feb 22, 2022",$0.71,$0.75,$0.70,$0.75,"$38,097,722","$2,089,908,419"
"Feb 21, 2022",$0.79,$0.82,$0.71,$0.71,"$61,694,744","$1,978,538,477"
"Feb 20, 2022",$0.83,$0.83,$0.78,$0.79,"$37,566,295","$2,188,713,970"
"Feb 19, 2022",$0.80,$0.84,$0.78,$0.83,"$42,780,376","$2,307,315,541"
"Feb 18, 2022",$0.82,$0.85,$0.80,$0.80,"$23,517,743","$2,231,769,753"
"Feb 17, 2022",$0.89,$0.91,$0.81,$0.82,"$34,114,902","$2,285,823,320"
"Feb 16, 2022",$0.90,$0.91,$0.87,$0.89,"$35,833,612","$2,486,381,936"
"Feb 15, 2022",$0.85,$0.90,$0.85,$0.90,"$39,991,538","$2,495,981,275"
"Feb 14, 2022",$0.85,$0.86,$0.82,$0.85,"$32,888,446","$2,354,057,423"
"Feb 13, 2022",$0.87,$0.90,$0.85,$0.85,"$28,050,987","$2,368,107,801"
"Feb 12, 2022",$0.87,$0.90,$0.85,$0.87,"$28,056,022","$2,427,897,877"
"Feb 11, 2022",$0.95,$0.98,$0.86,$0.87,"$43,649,456","$2,431,334,905"
"Feb 10, 2022",$1.02,$1.02,$0.95,$0.95,"$65,631,683","$2,639,052,167"
"Feb 09, 2022",$0.99,$1.05,$0.99,$1.02,"$67,088,258","$2,834,128,464"
"Feb 08, 2022",$1.00,$1.01,$0.94,$0.99,"$45,524,062","$2,755,915,262"
"Feb 07, 2022",$0.96,$1.02,$0.94,$1.00,"$45,456,557","$2,783,572,440"
"Feb 06, 2022",$0.95,$0.96,$0.92,$0.96,"$20,969,740","$2,656,375,492"
"Feb 05, 2022",$0.96,$0.98,$0.92,$0.95,"$39,306,705","$2,640,568,801"
"Feb 04, 2022",$0.93,$0.96,$0.90,$0.96,"$44,751,012","$2,669,409,057"
"Feb 03, 2022",$0.84,$0.93,$0.83,$0.93,"$38,363,955","$2,576,177,864"
"Feb 02, 2022",$0.84,$0.91,$0.84,$0.84,"$41,747,923","$2,334,149,791"
"Feb 01, 2022",$0.83,$0.86,$0.83,$0.84,"$24,392,340","$2,339,954,891"
"Jan 31, 2022",$0.82,$0.84,$0.79,$0.83,"$18,458,470","$2,320,653,493"
"Jan 30, 2022",$0.83,$0.85,$0.81,$0.82,"$16,510,041","$2,265,997,689"
"Jan 29, 2022",$0.82,$0.85,$0.82,$0.83,"$16,327,249","$2,307,196,131"
"Jan 28, 2022",$0.80,$0.82,$0.78,$0.82,"$24,511,941","$2,273,572,557"
"Jan 27, 2022",$0.80,$0.83,$0.77,$0.80,"$29,986,548","$2,223,685,706"
"Jan 26, 2022",$0.81,$0.86,$0.79,$0.80,"$38,270,652","$2,235,923,245"
"Jan 25, 2022",$0.79,$0.82,$0.78,$0.81,"$41,325,169","$2,255,701,278"
"Jan 24, 2022",$0.82,$0.82,$0.70,$0.79,"$50,926,288","$2,193,985,853"
"Jan 23, 2022",$0.78,$0.84,$0.77,$0.82,"$42,093,859","$2,265,932,781"
"Jan 22, 2022",$0.86,$0.88,$0.71,$0.78,"$77,427,481","$2,160,424,028"
"Jan 21, 2022",$1.02,$1.03,$0.85,$0.86,"$70,616,865","$2,386,099,458"
"Jan 20, 2022",$1.05,$1.11,$1.02,$1.02,"$22,401,240","$2,823,178,059"
"Jan 19, 2022",$1.10,$1.10,$1.04,$1.05,"$37,006,675","$2,930,465,731"
"Jan 18, 2022",$1.16,$1.19,$1.08,$1.10,"$67,646,525","$3,068,244,688"
"Jan 17, 2022",$1.14,$1.19,$1.12,$1.16,"$56,416,567","$3,237,524,914"
"Jan 16, 2022",$1.13,$1.16,$1.12,$1.14,"$23,444,350","$3,157,700,323"
"Jan 15, 2022",$1.12,$1.15,$1.12,$1.13,"$27,352,700","$3,136,331,142"
"Jan 14, 2022",$1.11,$1.13,$1.08,$1.12,"$36,449,021","$3,115,494,109"
"Jan 13, 2022",$1.19,$1.19,$1.10,$1.11,"$64,133,071","$3,082,714,894"
"Jan 12, 2022",$1.14,$1.20,$1.14,$1.19,"$42,526,084","$3,305,544,702"
"Jan 11, 2022",$1.11,$1.15,$1.08,$1.14,"$67,515,229","$3,175,599,818"
"Jan 10, 2022",$1.07,$1.12,$1.01,$1.12,"$68,185,338","$3,102,515,224"
"Jan 09, 2022",$1.08,$1.10,$1.04,$1.07,"$53,551,883","$2,983,137,079"
"Jan 08, 2022",$1.11,$1.13,$1.04,$1.08,"$76,609,687","$3,008,360,586"
