Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$2.72,$3.03,$2.70,$2.84,"$291,807,284","$2,835,874,500"
"Mar 07, 2022",$2.71,$2.84,$2.61,$2.72,"$188,414,474","$2,723,769,539"
"Mar 06, 2022",$2.88,$2.91,$2.70,$2.71,"$133,194,002","$2,706,097,569"
"Mar 05, 2022",$2.82,$2.91,$2.75,$2.88,"$136,285,398","$2,879,385,849"
"Mar 04, 2022",$3.07,$3.07,$2.79,$2.81,"$229,010,896","$2,814,126,096"
"Mar 03, 2022",$3.18,$3.43,$3.01,$3.06,"$327,072,550","$3,061,777,787"
"Mar 02, 2022",$3.28,$3.30,$3.12,$3.18,"$278,355,308","$3,181,592,238"
"Mar 01, 2022",$3.35,$3.44,$3.20,$3.28,"$406,913,314","$3,282,211,247"
"Feb 28, 2022",$2.75,$3.36,$2.66,$3.35,"$351,183,680","$3,350,881,340"
"Feb 27, 2022",$2.83,$2.98,$2.70,$2.75,"$292,826,358","$2,754,958,364"
"Feb 26, 2022",$2.82,$2.89,$2.77,$2.83,"$199,231,225","$2,834,211,089"
"Feb 25, 2022",$2.62,$2.88,$2.57,$2.82,"$345,249,056","$2,820,312,505"
"Feb 24, 2022",$2.70,$2.70,$2.28,$2.62,"$488,035,050","$2,617,972,862"
"Feb 23, 2022",$2.88,$2.97,$2.69,$2.70,"$248,995,423","$2,697,720,240"
"Feb 22, 2022",$2.67,$2.90,$2.61,$2.89,"$269,274,898","$2,886,100,360"
"Feb 21, 2022",$2.97,$3.14,$2.66,$2.67,"$317,252,220","$2,670,590,449"
"Feb 20, 2022",$3.22,$3.22,$2.88,$2.97,"$221,852,307","$2,967,473,520"
"Feb 19, 2022",$3.30,$3.36,$3.11,$3.22,"$199,028,018","$3,221,651,414"
"Feb 18, 2022",$3.44,$3.56,$3.27,$3.30,"$298,382,102","$3,303,242,625"
"Feb 17, 2022",$3.91,$3.96,$3.41,$3.44,"$430,156,071","$3,435,912,867"
"Feb 16, 2022",$3.85,$4.04,$3.76,$3.91,"$526,899,274","$3,907,362,849"
"Feb 15, 2022",$3.58,$3.86,$3.57,$3.85,"$378,288,074","$3,853,274,250"
"Feb 14, 2022",$3.59,$3.74,$3.46,$3.58,"$393,803,386","$3,577,088,141"
"Feb 13, 2022",$3.89,$3.94,$3.59,$3.60,"$314,943,868","$3,595,296,724"
"Feb 12, 2022",$3.94,$4.23,$3.72,$3.90,"$675,331,541","$3,896,129,329"
"Feb 11, 2022",$4.09,$4.33,$3.86,$3.94,"$1,026,557,588","$3,935,494,962"
"Feb 10, 2022",$3.43,$4.11,$3.33,$4.09,"$981,084,803","$4,087,981,702"
"Feb 09, 2022",$3.45,$3.48,$3.27,$3.43,"$192,854,668","$3,433,394,169"
"Feb 08, 2022",$3.59,$3.60,$3.24,$3.46,"$306,036,366","$3,455,928,413"
"Feb 07, 2022",$3.50,$3.65,$3.43,$3.59,"$320,606,230","$3,593,119,271"
"Feb 06, 2022",$3.27,$3.61,$3.27,$3.50,"$404,856,561","$3,501,721,743"
"Feb 05, 2022",$3.05,$3.42,$3.04,$3.27,"$411,247,250","$3,265,676,824"
"Feb 04, 2022",$2.79,$3.05,$2.78,$3.05,"$205,822,031","$3,048,733,282"
"Feb 03, 2022",$2.75,$2.83,$2.70,$2.79,"$162,394,741","$2,791,964,678"
"Feb 02, 2022",$2.92,$2.95,$2.74,$2.75,"$155,606,591","$2,753,070,668"
"Feb 01, 2022",$2.95,$2.97,$2.88,$2.92,"$160,511,352","$2,922,106,737"
"Jan 31, 2022",$2.88,$2.95,$2.71,$2.95,"$198,679,473","$2,946,144,116"
"Jan 30, 2022",$2.98,$3.11,$2.82,$2.88,"$174,656,983","$2,879,262,266"
"Jan 29, 2022",$2.94,$3.02,$2.90,$2.98,"$170,410,510","$2,978,909,429"
"Jan 28, 2022",$2.90,$2.97,$2.81,$2.94,"$233,236,240","$2,943,197,195"
"Jan 27, 2022",$2.83,$3.13,$2.79,$2.90,"$563,682,060","$2,902,982,835"
"Jan 26, 2022",$2.61,$3.10,$2.59,$2.83,"$483,336,852","$2,834,394,679"
"Jan 25, 2022",$2.59,$2.70,$2.49,$2.61,"$251,347,358","$2,612,431,408"
"Jan 24, 2022",$2.78,$2.79,$2.29,$2.59,"$374,183,035","$2,593,408,495"
"Jan 23, 2022",$2.76,$2.94,$2.62,$2.78,"$323,095,121","$2,782,061,335"
"Jan 22, 2022",$3.40,$3.45,$2.40,$2.76,"$590,470,087","$2,760,807,238"
"Jan 21, 2022",$4.10,$4.32,$3.31,$3.40,"$421,178,503","$3,396,224,886"
"Jan 20, 2022",$4.33,$4.64,$4.10,$4.10,"$236,076,709","$4,100,619,457"
"Jan 19, 2022",$4.22,$4.47,$4.15,$4.33,"$500,706,919","$4,331,744,110"
"Jan 18, 2022",$3.96,$4.25,$3.85,$4.22,"$324,885,686","$4,224,123,566"
"Jan 17, 2022",$4.20,$4.22,$3.90,$3.96,"$178,953,779","$3,962,635,827"
"Jan 16, 2022",$4.10,$4.29,$4.05,$4.21,"$144,065,778","$4,205,319,174"
"Jan 15, 2022",$4.15,$4.16,$4.05,$4.10,"$117,894,575","$4,097,959,602"
"Jan 14, 2022",$3.97,$4.15,$3.89,$4.15,"$179,130,634","$4,146,339,771"
"Jan 13, 2022",$4.27,$4.29,$3.97,$3.97,"$202,137,726","$3,970,036,884"
"Jan 12, 2022",$4.09,$4.35,$4.09,$4.28,"$178,023,045","$4,275,362,448"
"Jan 11, 2022",$3.85,$4.15,$3.81,$4.09,"$168,114,758","$4,093,125,602"
"Jan 10, 2022",$4.04,$4.12,$3.70,$3.85,"$216,174,209","$3,846,782,760"
"Jan 09, 2022",$3.99,$4.14,$3.94,$4.04,"$162,053,331","$4,036,943,175"
"Jan 08, 2022",$4.19,$4.33,$3.83,$3.99,"$236,524,097","$3,985,356,910"
"Jan 07, 2022",$4.39,$4.40,$4.05,$4.19,"$264,833,881","$4,189,619,711"
"Jan 06, 2022",$4.43,$4.44,$4.18,$4.39,"$258,814,364","$4,393,118,284"
"Jan 05, 2022",$4.75,$5.23,$4.22,$4.43,"$418,685,964","$4,430,465,880"
"Jan 04, 2022",$4.71,$4.94,$4.60,$4.75,"$187,468,379","$4,747,561,932"
"Jan 03, 2022",$4.89,$4.89,$4.63,$4.71,"$138,983,217","$4,705,298,363"
"Jan 02, 2022",$4.95,$4.95,$4.80,$4.89,"$120,684,888","$4,885,482,521"
"Jan 01, 2022",$4.72,$4.95,$4.71,$4.95,"$111,568,121","$4,946,453,291"
"Dec 31, 2021",$4.82,$4.94,$4.58,$4.71,"$163,528,393","$4,714,737,796"
"Dec 30, 2021",$4.91,$4.99,$4.71,$4.82,"$150,627,023","$4,816,830,839"
"Dec 29, 2021",$5.09,$5.27,$4.86,$4.90,"$219,340,771","$4,904,890,890"
"Dec 28, 2021",$5.48,$5.48,$4.97,$5.09,"$264,721,008","$5,089,114,841"
"Dec 27, 2021",$5.49,$5.94,$5.45,$5.47,"$368,319,496","$5,469,887,380"
"Dec 26, 2021",$5.02,$5.52,$4.91,$5.51,"$310,719,224","$5,506,537,212"
"Dec 25, 2021",$4.71,$5.15,$4.68,$5.01,"$245,401,708","$5,014,026,551"
"Dec 24, 2021",$4.76,$4.88,$4.63,$4.71,"$178,577,797","$4,712,758,999"
"Dec 23, 2021",$4.44,$4.82,$4.34,$4.76,"$172,266,793","$4,757,652,031"
"Dec 22, 2021",$4.15,$4.58,$4.15,$4.44,"$140,631,439","$4,437,243,479"
"Dec 21, 2021",$3.99,$4.18,$3.97,$4.15,"$91,578,449","$4,153,397,643"
"Dec 20, 2021",$4.14,$4.14,$3.84,$3.99,"$125,053,672","$3,991,942,118"
"Dec 19, 2021",$4.09,$4.22,$4.06,$4.13,"$98,414,500","$4,132,400,829"
"Dec 18, 2021",$4.04,$4.18,$3.96,$4.09,"$85,699,310","$4,085,148,728"
"Dec 17, 2021",$4.25,$4.35,$3.94,$4.05,"$139,524,950","$4,045,606,696"
"Dec 16, 2021",$4.39,$4.48,$4.23,$4.25,"$122,662,679","$4,252,968,673"
"Dec 15, 2021",$4.04,$4.41,$3.89,$4.40,"$204,466,078","$4,395,709,276"
"Dec 14, 2021",$3.90,$4.04,$3.84,$3.85,"$175,206,073","$3,850,932,166"
"Dec 13, 2021",$4.43,$4.51,$3.82,$3.91,"$180,149,393","$3,906,012,214"
"Dec 12, 2021",$4.42,$4.51,$4.29,$4.43,"$95,875,850","$4,428,638,673"
"Dec 11, 2021",$4.27,$4.46,$4.20,$4.42,"$136,749,126","$4,423,258,687"
"Dec 10, 2021",$4.41,$4.70,$4.26,$4.27,"$207,402,772","$4,273,551,320"
"Dec 09, 2021",$4.91,$4.99,$4.37,$4.41,"$197,956,143","$4,406,105,275"
"Dec 08, 2021",$4.69,$5.07,$4.50,$4.92,"$254,251,570","$4,916,957,232"
"Dec 07, 2021",$4.81,$4.90,$4.60,$4.70,"$200,296,226","$4,703,035,783"
"Dec 06, 2021",$4.74,$4.81,$4.17,$4.81,"$318,843,918","$4,805,865,396"
"Dec 05, 2021",$5.13,$5.24,$4.54,$4.73,"$299,261,782","$4,729,731,861"
