Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$77.95,$86.83,$77.60,$85.50,"$3,265,421,261","$31,177,518,571"
"Mar 07, 2022",$79.14,$83.79,$75.82,$77.94,"$3,100,537,030","$28,562,987,231"
"Mar 06, 2022",$87.42,$88.18,$78.75,$79.12,"$2,728,755,239","$29,114,643,342"
"Mar 05, 2022",$83.34,$88.40,$80.63,$87.41,"$2,911,211,299","$32,294,799,217"
"Mar 04, 2022",$90.38,$93.20,$83.27,$83.27,"$3,795,185,337","$30,884,811,352"
"Mar 03, 2022",$92.18,$94.01,$86.98,$90.31,"$3,252,740,401","$33,623,226,001"
"Mar 02, 2022",$89.55,$96.45,$88.53,$92.11,"$4,701,589,889","$34,422,033,521"
"Mar 01, 2022",$91.17,$94.41,$86.28,$89.54,"$4,662,381,579","$33,589,191,563"
"Feb 28, 2022",$72.60,$92.41,$70.57,$91.14,"$5,007,692,834","$34,300,483,896"
"Feb 27, 2022",$78.06,$78.80,$71.44,$72.64,"$3,108,800,926","$27,433,571,502"
"Feb 26, 2022",$73.16,$79.51,$72.42,$78.08,"$3,159,163,058","$29,621,245,348"
"Feb 25, 2022",$65.37,$73.29,$64.06,$73.17,"$4,158,265,095","$27,868,114,968"
"Feb 24, 2022",$59.63,$65.46,$50.52,$65.39,"$6,147,402,521","$25,017,719,459"
"Feb 23, 2022",$54.77,$63.99,$54.71,$59.65,"$3,103,073,199","$22,977,426,376"
"Feb 22, 2022",$50.16,$55.25,$48.59,$54.78,"$2,312,184,928","$21,195,466,382"
"Feb 21, 2022",$49.35,$53.61,$49.02,$50.18,"$2,011,987,505","$19,482,679,629"
"Feb 20, 2022",$50.44,$50.66,$47.48,$49.36,"$1,092,855,688","$19,226,836,917"
"Feb 19, 2022",$50.70,$52.82,$50.12,$50.43,"$881,733,436","$19,670,261,385"
"Feb 18, 2022",$50.27,$51.80,$49.23,$50.73,"$1,263,578,810","$19,887,151,941"
"Feb 17, 2022",$56.03,$56.95,$50.22,$50.25,"$1,165,569,230","$19,821,801,772"
"Feb 16, 2022",$56.81,$58.18,$55.23,$56.06,"$963,196,469","$22,203,787,935"
"Feb 15, 2022",$53.86,$56.98,$53.81,$56.81,"$1,116,001,640","$22,580,748,407"
"Feb 14, 2022",$51.76,$54.47,$51.57,$53.85,"$1,188,035,703","$21,475,672,814"
"Feb 13, 2022",$52.01,$53.68,$51.10,$51.79,"$879,534,650","$20,575,427,609"
"Feb 12, 2022",$50.39,$53.57,$49.58,$52.00,"$1,242,345,746","$20,732,710,633"
"Feb 11, 2022",$52.21,$54.76,$50.01,$50.39,"$1,668,320,882","$20,166,929,922"
"Feb 10, 2022",$57.34,$57.53,$52.10,$52.17,"$2,020,644,023","$20,941,543,527"
"Feb 09, 2022",$57.26,$57.87,$54.63,$57.29,"$1,369,057,270","$22,993,560,423"
"Feb 08, 2022",$59.49,$59.79,$55.14,$57.29,"$1,900,551,969","$22,992,841,139"
"Feb 07, 2022",$56.10,$60.56,$54.51,$59.47,"$2,145,919,403","$23,858,556,765"
"Feb 06, 2022",$55.40,$57.16,$53.39,$56.10,"$1,300,455,898","$22,492,358,594"
"Feb 05, 2022",$53.92,$57.91,$53.56,$55.37,"$1,974,965,818","$22,199,250,933"
"Feb 04, 2022",$50.95,$53.89,$49.33,$53.89,"$2,017,445,569","$21,602,021,597"
"Feb 03, 2022",$47.55,$51.37,$46.65,$51.03,"$1,708,879,754","$20,447,193,968"
"Feb 02, 2022",$52.04,$53.37,$47.45,$47.57,"$1,684,337,257","$19,063,904,000"
"Feb 01, 2022",$52.27,$53.99,$50.82,$52.02,"$1,901,818,935","$20,853,950,523"
"Jan 31, 2022",$46.31,$52.37,$43.57,$52.34,"$2,522,178,621","$20,974,931,807"
"Jan 30, 2022",$50.83,$51.24,$45.61,$46.27,"$1,589,568,944","$18,545,785,693"
"Jan 29, 2022",$50.60,$53.53,$50.34,$50.79,"$2,190,728,655","$20,361,122,029"
"Jan 28, 2022",$54.27,$55.19,$47.72,$50.60,"$3,337,573,995","$20,273,301,828"
"Jan 27, 2022",$58.83,$61.25,$50.99,$54.32,"$2,296,699,260","$21,781,385,852"
"Jan 26, 2022",$62.82,$66.18,$58.08,$58.84,"$2,865,279,574","$23,643,379,341"
"Jan 25, 2022",$65.97,$66.74,$62.02,$62.83,"$2,595,272,077","$25,254,791,133"
"Jan 24, 2022",$69.76,$69.77,$59.46,$65.97,"$4,266,933,267","$26,533,998,032"
"Jan 23, 2022",$62.69,$70.05,$62.69,$69.79,"$2,761,811,982","$28,144,622,469"
"Jan 22, 2022",$64.88,$65.78,$54.35,$62.57,"$4,383,257,980","$25,322,234,538"
"Jan 21, 2022",$77.14,$80.55,$62.16,$64.84,"$3,814,759,779","$23,067,562,970"
"Jan 20, 2022",$81.26,$84.83,$76.46,$76.99,"$1,145,730,437","$27,485,414,822"
"Jan 19, 2022",$80.61,$81.92,$75.98,$81.25,"$2,094,065,955","$29,039,621,483"
"Jan 18, 2022",$77.16,$81.31,$74.16,$80.57,"$2,126,201,592","$28,841,926,603"
"Jan 17, 2022",$87.02,$87.14,$76.08,$77.18,"$1,858,065,127","$27,632,715,825"
"Jan 16, 2022",$87.51,$87.52,$84.80,$86.96,"$1,423,445,475","$31,185,198,012"
"Jan 15, 2022",$81.60,$87.80,$80.56,$87.57,"$1,586,855,347","$31,440,738,502"
"Jan 14, 2022",$78.06,$82.95,$76.76,$81.63,"$1,828,747,076","$29,322,521,129"
"Jan 13, 2022",$82.03,$83.77,$78.00,$78.00,"$2,445,145,680","$27,814,111,078"
"Jan 12, 2022",$73.64,$82.91,$72.59,$82.07,"$2,508,763,810","$29,301,624,229"
"Jan 11, 2022",$69.45,$74.88,$68.49,$73.67,"$2,026,652,480","$26,313,326,423"
"Jan 10, 2022",$74.49,$74.49,$65.66,$69.45,"$2,852,394,573","$24,846,080,429"
"Jan 09, 2022",$66.95,$75.55,$65.88,$74.48,"$2,317,080,034","$26,692,037,535"
"Jan 08, 2022",$68.72,$71.57,$62.88,$66.93,"$2,330,265,265","$23,989,418,206"
"Jan 07, 2022",$78.48,$78.61,$68.57,$68.67,"$3,323,322,055","$24,624,044,148"
"Jan 06, 2022",$78.58,$80.23,$74.38,$78.44,"$2,115,914,311","$28,161,441,399"
"Jan 05, 2022",$84.58,$87.34,$74.14,$78.59,"$2,186,902,547","$28,253,414,359"
