Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$0.05,$0.05,$0.05,$0.05,"$260,987,005","$2,996,375,724"
"Mar 07, 2022",$0.05,$0.05,$0.04,$0.05,"$324,989,314","$2,970,272,602"
"Mar 06, 2022",$0.05,$0.05,$0.05,$0.05,"$239,396,653","$3,061,485,829"
"Mar 05, 2022",$0.05,$0.05,$0.05,$0.05,"$238,338,971","$3,237,545,134"
"Mar 04, 2022",$0.05,$0.06,$0.05,$0.05,"$396,616,830","$3,151,872,851"
"Mar 03, 2022",$0.05,$0.06,$0.05,$0.05,"$570,211,723","$3,507,112,315"
"Mar 02, 2022",$0.05,$0.05,$0.05,$0.05,"$325,497,352","$3,409,372,261"
"Mar 01, 2022",$0.05,$0.05,$0.05,$0.05,"$375,798,281","$3,400,266,636"
"Feb 28, 2022",$0.05,$0.05,$0.04,$0.05,"$356,056,532","$3,335,884,331"
"Feb 27, 2022",$0.05,$0.05,$0.04,$0.05,"$267,496,628","$2,931,109,968"
"Feb 26, 2022",$0.05,$0.05,$0.05,$0.05,"$245,093,599","$3,102,269,909"
"Feb 25, 2022",$0.04,$0.05,$0.04,$0.05,"$304,797,615","$3,058,185,646"
"Feb 24, 2022",$0.05,$0.05,$0.04,$0.04,"$581,183,695","$2,867,144,680"
"Feb 23, 2022",$0.05,$0.05,$0.05,$0.05,"$286,082,741","$2,934,687,922"
"Feb 22, 2022",$0.05,$0.05,$0.04,$0.05,"$304,932,397","$3,039,872,306"
"Feb 21, 2022",$0.05,$0.05,$0.05,$0.05,"$372,212,938","$2,903,867,943"
"Feb 20, 2022",$0.05,$0.05,$0.05,$0.05,"$263,573,185","$3,162,738,213"
"Feb 19, 2022",$0.05,$0.05,$0.05,$0.05,"$189,569,127","$3,387,212,181"
"Feb 18, 2022",$0.05,$0.06,$0.05,$0.05,"$260,332,441","$3,430,408,093"
"Feb 17, 2022",$0.06,$0.06,$0.05,$0.05,"$287,101,700","$3,504,070,699"
"Feb 16, 2022",$0.06,$0.06,$0.06,$0.06,"$258,607,344","$3,882,219,527"
"Feb 15, 2022",$0.06,$0.06,$0.06,$0.06,"$258,597,923","$3,914,026,601"
"Feb 14, 2022",$0.06,$0.06,$0.05,$0.06,"$257,212,197","$3,618,613,123"
"Feb 13, 2022",$0.06,$0.06,$0.06,$0.06,"$200,038,197","$3,639,858,616"
"Feb 12, 2022",$0.06,$0.06,$0.06,$0.06,"$261,495,810","$3,693,743,556"
"Feb 11, 2022",$0.06,$0.06,$0.06,$0.06,"$326,297,333","$3,735,440,095"
"Feb 10, 2022",$0.07,$0.07,$0.06,$0.06,"$365,448,979","$4,062,311,365"
