Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$0.17,$0.17,$0.17,$0.17,"$285,125,715","$4,248,799,875"
"Mar 07, 2022",$0.17,$0.18,$0.17,$0.17,"$304,096,054","$4,187,356,629"
"Mar 06, 2022",$0.18,$0.18,$0.17,$0.17,"$202,256,641","$4,258,943,429"
"Mar 05, 2022",$0.18,$0.18,$0.17,$0.18,"$223,758,638","$4,424,350,255"
"Mar 04, 2022",$0.19,$0.19,$0.17,$0.18,"$276,657,264","$4,320,401,858"
"Mar 03, 2022",$0.19,$0.19,$0.19,$0.19,"$242,843,709","$4,614,727,082"
"Mar 02, 2022",$0.20,$0.20,$0.19,$0.19,"$278,126,307","$4,751,672,062"
"Mar 01, 2022",$0.20,$0.20,$0.19,$0.20,"$366,440,538","$4,957,576,639"
"Feb 28, 2022",$0.18,$0.20,$0.18,$0.20,"$346,438,963","$4,911,131,378"
"Feb 27, 2022",$0.19,$0.19,$0.18,$0.18,"$243,626,115","$4,521,538,741"
"Feb 26, 2022",$0.19,$0.20,$0.19,$0.19,"$266,053,910","$4,808,697,760"
"Feb 25, 2022",$0.18,$0.19,$0.18,$0.19,"$308,094,245","$4,754,488,088"
"Feb 24, 2022",$0.18,$0.19,$0.16,$0.18,"$613,745,631","$4,550,275,880"
"Feb 23, 2022",$0.19,$0.19,$0.18,$0.18,"$269,704,720","$4,537,737,462"
"Feb 22, 2022",$0.18,$0.19,$0.17,$0.19,"$340,863,445","$4,633,618,489"
"Feb 21, 2022",$0.19,$0.20,$0.18,$0.18,"$427,761,247","$4,457,542,606"
"Feb 20, 2022",$0.20,$0.21,$0.19,$0.19,"$308,362,363","$4,859,159,682"
"Feb 19, 2022",$0.20,$0.21,$0.20,$0.20,"$342,769,286","$5,091,178,598"
"Feb 18, 2022",$0.20,$0.21,$0.20,$0.20,"$302,321,719","$5,012,974,676"
"Feb 17, 2022",$0.22,$0.23,$0.20,$0.20,"$358,767,623","$5,043,488,691"
"Feb 16, 2022",$0.22,$0.22,$0.21,$0.22,"$284,100,730","$5,463,020,626"
"Feb 15, 2022",$0.21,$0.22,$0.21,$0.22,"$288,500,463","$5,507,793,085"
"Feb 14, 2022",$0.21,$0.21,$0.21,$0.21,"$256,265,259","$5,255,227,260"
"Feb 13, 2022",$0.22,$0.22,$0.21,$0.21,"$228,218,610","$5,269,544,357"
"Feb 12, 2022",$0.22,$0.22,$0.21,$0.22,"$261,514,982","$5,433,341,148"
"Feb 11, 2022",$0.23,$0.23,$0.21,$0.22,"$327,197,014","$5,367,435,255"
"Feb 10, 2022",$0.24,$0.24,$0.23,$0.23,"$387,120,530","$5,785,619,892"
"Feb 09, 2022",$0.24,$0.24,$0.24,$0.24,"$378,548,242","$5,943,703,391"
"Feb 08, 2022",$0.24,$0.26,$0.23,$0.24,"$692,180,158","$6,043,807,006"
"Feb 07, 2022",$0.22,$0.24,$0.22,$0.24,"$522,659,623","$5,953,483,976"
"Feb 06, 2022",$0.21,$0.22,$0.21,$0.22,"$249,520,319","$5,562,928,841"
"Feb 05, 2022",$0.21,$0.22,$0.21,$0.21,"$239,414,729","$5,307,018,253"
"Feb 04, 2022",$0.19,$0.21,$0.19,$0.21,"$263,077,538","$5,194,974,255"
"Feb 03, 2022",$0.19,$0.19,$0.19,$0.19,"$220,706,092","$4,827,486,156"
"Feb 02, 2022",$0.20,$0.21,$0.19,$0.19,"$258,768,448","$4,795,048,280"
"Feb 01, 2022",$0.20,$0.21,$0.20,$0.20,"$287,577,364","$5,013,010,269"
"Jan 31, 2022",$0.20,$0.20,$0.19,$0.20,"$237,552,709","$4,963,048,702"
"Jan 30, 2022",$0.20,$0.21,$0.19,$0.20,"$183,344,638","$4,855,662,246"
"Jan 29, 2022",$0.20,$0.20,$0.20,$0.20,"$190,032,044","$5,034,960,237"
"Jan 28, 2022",$0.19,$0.20,$0.19,$0.20,"$232,930,533","$4,935,433,596"
"Jan 27, 2022",$0.20,$0.20,$0.19,$0.19,"$294,588,163","$4,811,386,383"
"Jan 26, 2022",$0.20,$0.21,$0.19,$0.20,"$405,490,280","$4,893,237,602"
"Jan 25, 2022",$0.20,$0.20,$0.19,$0.20,"$363,440,655","$4,885,231,779"
"Jan 24, 2022",$0.20,$0.20,$0.17,$0.20,"$551,589,772","$4,905,419,701"
"Jan 23, 2022",$0.19,$0.20,$0.19,$0.20,"$427,113,217","$4,975,135,090"
"Jan 22, 2022",$0.20,$0.21,$0.17,$0.19,"$772,768,364","$4,762,489,062"
"Jan 21, 2022",$0.23,$0.23,$0.20,$0.20,"$697,731,808","$5,034,510,787"
"Jan 20, 2022",$0.25,$0.25,$0.23,$0.23,"$281,044,842","$5,745,122,011"
"Jan 19, 2022",$0.25,$0.26,$0.24,$0.25,"$308,832,798","$6,110,478,760"
"Jan 18, 2022",$0.26,$0.26,$0.25,$0.25,"$357,600,888","$6,303,869,471"
"Jan 17, 2022",$0.26,$0.26,$0.25,$0.26,"$330,982,585","$6,352,819,247"
"Jan 16, 2022",$0.26,$0.26,$0.26,$0.26,"$269,067,010","$6,415,284,882"
"Jan 15, 2022",$0.27,$0.27,$0.26,$0.26,"$481,735,151","$6,444,436,433"
"Jan 14, 2022",$0.27,$0.28,$0.26,$0.27,"$609,155,084","$6,603,018,619"
"Jan 13, 2022",$0.28,$0.29,$0.27,$0.27,"$470,587,060","$6,688,622,678"
"Jan 12, 2022",$0.26,$0.29,$0.26,$0.28,"$597,727,271","$7,001,405,834"
