Date,Open*,High,Low,Close**,Volume,Market Cap
"Mar 08, 2022",$0.72,$0.73,$0.72,$0.72,"$1,907,305,640","$34,566,738,897"
"Mar 07, 2022",$0.73,$0.75,$0.71,$0.72,"$2,920,222,453","$34,677,454,030"
"Mar 06, 2022",$0.75,$0.76,$0.73,$0.73,"$1,862,292,224","$34,810,891,622"
"Mar 05, 2022",$0.71,$0.77,$0.71,$0.75,"$2,297,850,919","$36,196,925,893"
"Mar 04, 2022",$0.75,$0.75,$0.71,$0.71,"$2,359,803,521","$34,172,122,881"
"Mar 03, 2022",$0.77,$0.78,$0.74,$0.75,"$2,213,014,779","$36,066,709,499"
"Mar 02, 2022",$0.78,$0.78,$0.76,$0.77,"$2,401,047,273","$36,848,808,011"
"Mar 01, 2022",$0.78,$0.80,$0.76,$0.78,"$2,877,778,057","$37,633,560,932"
"Feb 28, 2022",$0.72,$0.79,$0.71,$0.78,"$3,053,923,291","$37,498,438,055"
"Feb 27, 2022",$0.75,$0.76,$0.71,$0.72,"$2,733,141,782","$34,619,021,226"
"Feb 26, 2022",$0.77,$0.79,$0.74,$0.75,"$3,051,695,701","$36,008,637,870"
"Feb 25, 2022",$0.70,$0.77,$0.69,$0.77,"$3,460,713,330","$36,868,338,077"
"Feb 24, 2022",$0.70,$0.71,$0.63,$0.70,"$5,146,799,150","$33,385,746,487"
"Feb 23, 2022",$0.72,$0.74,$0.70,$0.70,"$2,690,184,820","$33,504,378,574"
"Feb 22, 2022",$0.70,$0.73,$0.68,$0.72,"$3,539,593,096","$34,659,333,456"
"Feb 21, 2022",$0.78,$0.80,$0.70,$0.70,"$3,580,522,306","$33,730,672,760"
"Feb 20, 2022",$0.82,$0.82,$0.77,$0.78,"$3,041,836,889","$37,318,724,163"
"Feb 19, 2022",$0.79,$0.85,$0.77,$0.82,"$3,325,442,943","$39,439,647,397"
"Feb 18, 2022",$0.77,$0.80,$0.76,$0.79,"$2,913,093,056","$37,682,867,753"
"Feb 17, 2022",$0.84,$0.84,$0.76,$0.77,"$2,798,023,719","$36,785,413,824"
"Feb 16, 2022",$0.85,$0.85,$0.81,$0.84,"$2,165,008,058","$40,180,105,122"
"Feb 15, 2022",$0.80,$0.86,$0.80,$0.85,"$2,249,706,300","$40,816,850,707"
"Feb 14, 2022",$0.81,$0.81,$0.78,$0.80,"$2,401,300,497","$38,372,052,719"
"Feb 13, 2022",$0.82,$0.84,$0.80,$0.81,"$2,504,198,747","$38,757,348,317"
"Feb 12, 2022",$0.76,$0.85,$0.75,$0.82,"$3,457,258,389","$39,337,817,275"
"Feb 11, 2022",$0.83,$0.83,$0.75,$0.76,"$3,346,204,748","$36,363,472,398"
"Feb 10, 2022",$0.87,$0.89,$0.83,$0.83,"$3,535,002,566","$39,701,428,233"
"Feb 09, 2022",$0.88,$0.91,$0.85,$0.87,"$3,760,269,362","$41,644,223,972"
"Feb 08, 2022",$0.83,$0.91,$0.81,$0.88,"$6,159,382,645","$42,006,172,833"
"Feb 07, 2022",$0.68,$0.83,$0.67,$0.83,"$4,197,403,037","$39,596,604,271"
"Feb 06, 2022",$0.67,$0.69,$0.66,$0.68,"$1,095,140,341","$32,700,536,071"
"Feb 05, 2022",$0.66,$0.68,$0.65,$0.67,"$1,760,389,771","$31,910,303,814"
"Feb 04, 2022",$0.61,$0.66,$0.61,$0.66,"$1,543,180,484","$31,372,230,240"
"Feb 03, 2022",$0.60,$0.61,$0.59,$0.61,"$1,042,290,345","$29,067,008,485"
"Feb 02, 2022",$0.63,$0.63,$0.60,$0.60,"$1,182,736,030","$28,712,954,961"
"Feb 01, 2022",$0.62,$0.63,$0.61,$0.63,"$1,183,031,072","$30,037,662,360"
"Jan 31, 2022",$0.60,$0.62,$0.58,$0.62,"$1,266,538,239","$29,556,246,106"
"Jan 30, 2022",$0.62,$0.62,$0.60,$0.60,"$870,878,596","$28,793,982,070"
"Jan 29, 2022",$0.61,$0.62,$0.61,$0.62,"$958,847,124","$29,450,587,009"
"Jan 28, 2022",$0.61,$0.61,$0.59,$0.61,"$1,318,006,848","$29,239,432,357"
"Jan 27, 2022",$0.62,$0.62,$0.59,$0.61,"$1,586,137,620","$29,060,812,990"
"Jan 26, 2022",$0.62,$0.65,$0.61,$0.62,"$2,302,112,575","$29,695,823,921"
"Jan 25, 2022",$0.61,$0.62,$0.59,$0.62,"$1,731,121,388","$29,480,540,847"
"Jan 24, 2022",$0.63,$0.63,$0.56,$0.61,"$2,759,980,202","$29,221,617,471"
"Jan 23, 2022",$0.60,$0.63,$0.59,$0.63,"$1,851,934,913","$30,014,890,499"
"Jan 22, 2022",$0.64,$0.65,$0.56,$0.60,"$3,613,862,355","$28,453,215,896"
"Jan 21, 2022",$0.72,$0.73,$0.62,$0.64,"$3,150,758,603","$30,348,183,253"
"Jan 20, 2022",$0.74,$0.76,$0.72,$0.72,"$1,251,475,248","$34,289,841,110"
"Jan 19, 2022",$0.75,$0.75,$0.73,$0.74,"$1,446,126,322","$35,258,733,501"
"Jan 18, 2022",$0.76,$0.77,$0.74,$0.75,"$1,510,069,237","$35,872,752,053"
"Jan 17, 2022",$0.78,$0.78,$0.75,$0.76,"$1,406,443,014","$36,354,642,921"
"Jan 16, 2022",$0.78,$0.78,$0.77,$0.78,"$1,005,077,258","$37,127,364,883"
"Jan 15, 2022",$0.77,$0.79,$0.77,$0.78,"$1,029,135,167","$37,245,043,057"
"Jan 14, 2022",$0.77,$0.79,$0.76,$0.77,"$1,576,111,969","$36,905,410,371"
"Jan 13, 2022",$0.80,$0.80,$0.76,$0.77,"$1,578,656,460","$36,584,041,452"
"Jan 12, 2022",$0.77,$0.81,$0.76,$0.80,"$1,976,047,994","$38,070,557,828"
"Jan 11, 2022",$0.74,$0.77,$0.73,$0.77,"$1,897,366,203","$36,660,803,431"
"Jan 10, 2022",$0.75,$0.76,$0.71,$0.74,"$2,014,043,704","$35,175,473,469"
"Jan 09, 2022",$0.75,$0.77,$0.74,$0.75,"$1,182,503,166","$35,897,214,432"
"Jan 08, 2022",$0.76,$0.78,$0.73,$0.75,"$1,792,091,501","$35,572,883,103"
"Jan 07, 2022",$0.78,$0.78,$0.73,$0.76,"$2,329,624,598","$36,304,923,989"
"Jan 06, 2022",$0.77,$0.79,$0.74,$0.78,"$2,165,022,786","$37,174,268,618"
"Jan 05, 2022",$0.82,$0.84,$0.73,$0.77,"$2,252,733,064","$36,841,776,825"
"Jan 04, 2022",$0.83,$0.84,$0.82,$0.82,"$1,514,079,366","$39,201,627,718"
"Jan 03, 2022",$0.86,$0.86,$0.82,$0.83,"$1,428,968,710","$39,591,978,498"
"Jan 02, 2022",$0.85,$0.86,$0.84,$0.86,"$1,134,033,205","$40,838,984,414"
"Jan 01, 2022",$0.83,$0.85,$0.83,$0.85,"$1,156,464,024","$40,380,448,983"
"Dec 31, 2021",$0.84,$0.85,$0.81,$0.83,"$1,736,939,791","$39,510,117,215"
"Dec 30, 2021",$0.82,$0.86,$0.80,$0.84,"$1,880,399,926","$39,913,519,000"
"Dec 29, 2021",$0.85,$0.87,$0.81,$0.82,"$2,050,248,751","$38,823,298,887"
"Dec 28, 2021",$0.93,$0.93,$0.85,$0.85,"$2,281,985,956","$40,546,296,042"
"Dec 27, 2021",$0.92,$0.96,$0.91,$0.93,"$1,788,981,449","$44,027,073,353"
"Dec 26, 2021",$0.93,$0.93,$0.91,$0.92,"$1,324,703,098","$43,789,189,736"
"Dec 25, 2021",$0.91,$0.93,$0.90,$0.92,"$1,747,049,348","$43,962,148,015"
"Dec 24, 2021",$0.99,$1.00,$0.90,$0.91,"$3,864,725,087","$43,355,016,374"
"Dec 23, 2021",$0.95,$1.02,$0.94,$0.99,"$4,257,231,145","$47,216,781,864"
"Dec 22, 2021",$0.95,$0.97,$0.93,$0.95,"$3,317,199,427","$45,106,931,979"
"Dec 21, 2021",$0.88,$0.96,$0.85,$0.95,"$3,748,952,692","$44,773,731,359"
"Dec 20, 2021",$0.84,$0.91,$0.83,$0.88,"$4,587,029,518","$41,569,511,380"
"Dec 19, 2021",$0.83,$0.85,$0.82,$0.84,"$1,576,121,375","$39,453,059,811"
"Dec 18, 2021",$0.80,$0.83,$0.79,$0.83,"$1,806,931,648","$39,091,417,282"
"Dec 17, 2021",$0.81,$0.83,$0.78,$0.80,"$2,364,224,847","$37,764,335,881"
"Dec 16, 2021",$0.83,$0.84,$0.80,$0.81,"$2,178,245,900","$38,092,182,469"
"Dec 15, 2021",$0.81,$0.84,$0.78,$0.83,"$3,088,068,968","$39,093,865,518"
"Dec 14, 2021",$0.78,$0.82,$0.78,$0.80,"$3,477,802,545","$37,620,617,955"
"Dec 13, 2021",$0.84,$0.85,$0.76,$0.78,"$2,509,034,504","$36,989,642,588"
"Dec 12, 2021",$0.84,$0.86,$0.81,$0.84,"$1,628,060,313","$39,750,263,456"
"Dec 11, 2021",$0.80,$0.84,$0.79,$0.84,"$2,056,974,461","$39,655,263,406"
"Dec 10, 2021",$0.86,$0.88,$0.80,$0.80,"$3,267,095,314","$37,849,684,985"
"Dec 09, 2021",$0.86,$0.93,$0.84,$0.86,"$4,555,815,213","$40,692,779,516"
"Dec 08, 2021",$0.82,$0.89,$0.81,$0.86,"$3,038,966,909","$40,788,933,387"
"Dec 07, 2021",$0.83,$0.85,$0.81,$0.82,"$2,720,124,735","$38,676,090,001"
"Dec 06, 2021",$0.81,$0.83,$0.75,$0.83,"$3,447,952,788","$39,134,367,677"
"Dec 05, 2021",$0.85,$0.86,$0.78,$0.81,"$3,553,480,780","$38,062,181,529"
"Dec 04, 2021",$0.92,$0.93,$0.61,$0.85,"$6,970,805,726","$40,019,838,916"
